user_id,username,password,email
1,Shelagh,gV5(o\$_hJEoIQ1|,sslowcock0@msu.edu
2,Karim,dP1>!&bj4,khardin1@amazonaws.com
3,Reese,fW0!B)!a>+,rbeardon2@photobucket.com
4,Zollie,"tZ0""Aq`\puvKl_D",zstoppard3@spiegel.de
5,Tersina,tQ2`muRTtADX,tlawles4@youku.com
6,Isidore,wY2(Loaa>d%B4(Bz,itowsey5@sohu.com
7,Nettle,"bI8~dW&\I""K?",nivanchov6@slashdot.org
8,Kandy,dE0%zV0XLa,ksturdgess7@simplemachines.org
9,Melania,bA0.Sv'z5qGs4!,mloines8@ameblo.jp
10,Janice,qY8?6Sbtx,jhallifax9@jiathis.com
11,Flemming,"pP3'Hd<f,d3w",fkeizmana@about.com
12,Consuelo,vN9'tnEZ'yf)>|Wo,cmorphetb@qq.com
13,Osgood,tG5<R+FPCii,ocorbetc@hud.gov
14,Mavis,"zR3<'f,L",mstanyond@1und1.de
15,Alisa,"dN3""=>$X(""",astansbiee@baidu.com
16,Clemens,fX5\jR)CV@),cweatherleyf@desdev.cn
17,Adamo,"hI3""7KM<oE\klI",aebbing@sitemeter.com
18,Donn,nT4+|F$2hb=j,dheskinsh@redcross.org
19,Radcliffe,rU7+W6gF6B2@l8oh,rbelli@infoseek.co.jp
20,Pippy,kV0<t9O8&xf,pcordaroyj@google.de
21,Bjorn,kX8%5S(T#,bmilazzok@comcast.net
22,Yvonne,rJ4<s$Q0uEI$,ydelasallel@lycos.com
23,Marieann,"hX7}fz`,&`k.k6",mshipm@parallels.com
24,Delora,"lB8""R*J`",dbreartyn@mayoclinic.com
25,Brody,uL9'09{2M,bnicholeso@house.gov
26,Rutger,wP9`'z%o&3{|,rduddingp@telegraph.co.uk
27,Robbi,zY2'`9#/`iE0,rjorgq@blogs.com
28,Standford,"iZ9{~Es95/vZIE""W",sshipperbottomr@admin.ch
29,Robby,"vE0.c.Q#3gd,/\V",rvelldens@disqus.com
30,Juliana,vD8)Sr_.&NA9E,jdiggellt@samsung.com
31,Jessi,"aG9}jMw""""CIb2",jbrosiusu@paginegialle.it
32,Meredeth,iR1'vO9i`!wb7yi,mwalshv@aboutads.info
33,Alix,eY0|cs$Xn7VKWg,arullerw@youku.com
34,Pansy,nE6(eVM5d,pdenersx@state.tx.us
35,Ron,"cW0""d!9.wiDt8_Z6",rshoubridgey@japanpost.jp
36,Kristo,tC4#?dRpyT,kkleingrubz@storify.com
37,Frederich,sR2\LmDqk=Vt(o,ftomovic10@utexas.edu
38,Shandra,pC2#|=lhwU,sarrowsmith11@cpanel.net
39,Parsifal,xR8<'q=VP<AQ,pmackriell12@ebay.com
40,Mira,oI0{}}qf1,mleven13@barnesandnoble.com
41,Burlie,jP3/sSoZk>)DvSJV,bweightman14@usda.gov
42,Emelia,rV2.>c|f',ekubczak15@bigcartel.com
43,Klaus,oI8/GW4}K,kwelds16@chronoengine.com
44,Booth,qR2.R9r.HLvS~,bledley17@tmall.com
45,Myranda,fE2*t(MdMEP`,mchampney18@oakley.com
46,Jaynell,yZ9\W*?Bl,jpark19@forbes.com
47,Evelina,"kM1,%V'xDseQ",evaladez1a@wired.com
48,Rice,vA3.X7g3q+G,rmacmorland1b@cornell.edu
49,Max,hU1#E||nV'ODNOnB,mrame1c@icq.com
50,Sheppard,"iN4'h*OP1E=u""1Tr",sschiementz1d@canalblog.com
51,Vincent,nM9/!E*\IliaQ$,vtwentyman1e@nyu.edu
52,Edyth,fW8.sxy0(.>1,ebaggaley1f@ox.ac.uk
53,Bobette,"iG7`7j`""VB",bjailler1g@stumbleupon.com
54,Kittie,eC6~'|hpoY(o3,klukins1h@lulu.com
55,Lyndsay,dA4`gD/|F\K&p,larnal1i@lycos.com
56,Jacky,dV5)6gT6?#/e,jrangell1j@symantec.com
57,Merlina,"qO8?!\,wZ)}$y|2K",mvellden1k@icio.us
